 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.044               4              -4          1.5003;
     2    0.089              17             -15          1.5003;
     3    0.133              36             -31          1.5003;
     4    0.177              60             -53          1.5003;
     5    0.221              90             -78          1.5003;
     6    0.266             125            -108          1.5003;
     7    0.310             165            -142          1.5003;
     8    0.354             209            -179          1.5003;
     9    0.398             257            -220          1.5003;
    10    0.443             309            -263          1.5003;
    11    0.487             365            -310          1.5003;
    12    0.531             424            -358          1.5003;
    13    0.576             487            -409          1.5003;
    14    0.620             553            -462          1.5003;
    15    0.664             623            -518          1.5003;
    16    0.708             697            -577          1.5003;
    17    0.753             775            -639          1.5003;
    18    0.797             857            -703          1.5003;
    19    0.841             945            -772          1.5003;
    20    0.885            1036            -843          1.5003;
    21    0.930            1133            -918          1.5003;
    22    0.974            1235            -997          1.5003;
    23    1.018            1341           -1078          1.5003;
    24    1.063            1453           -1163          1.5003;
    25    1.107            1569           -1250          1.5003;
    26    1.151            1691           -1341          1.5003;
    27    1.195            1818           -1434          1.5003;
    28    1.240            1950           -1532          1.5003;
    29    1.284            2088           -1632          1.5003;
    30    1.328            2233           -1737          1.5003;
    31    1.372            2384           -1844          1.5003;
    32    1.417            2541           -1955          1.5003;
    33    1.461            2703           -2069          1.5003;
    34    1.505            2870           -2185          1.5003;
    35    1.549            3042           -2303          1.5003;
    36    1.594            3218           -2423          1.5003;
    37    1.638            3399           -2545          1.5003;
    38    1.682            3584           -2669          1.5003;
    39    1.727            3775           -2795          1.5003;
    40    1.771            3970           -2923          1.5003;
    41    1.815            4172           -3053          1.5003;
    42    1.859            4378           -3185          1.5003;
    43    1.904            4591           -3318          1.5003;
    44    1.948            4807           -3453          1.5003;
    45    1.992            5028           -3589          1.5003;
    46    2.036            5254           -3727          1.5003;
    47    2.081            5483           -3866          1.5003;
    48    2.125            5718           -4005          1.5003;
    49    2.169            5956           -4148          1.5003;
    50    2.214            6201           -4292          1.5003;
    51    2.258            6450           -4439          1.5003;
    52    2.302            6703           -4588          1.5003;
    53    2.346            6960           -4737          1.5003;
    54    2.391            7220           -4889          1.5003;
    55    2.435            7485           -5044          1.5003;
    56    2.479            7756           -5201          1.5003;
    57    2.523            8035           -5363          1.5003;
    58    2.568            8321           -5529          1.5003;
    59    2.612            8613           -5698          1.5003;
    60    2.656            8907           -5867          1.5003;
    61    2.701            9203           -6037          1.5003;
    62    2.745            9501           -6208          1.5003;
    63    2.789            9805           -6382          1.5003;
    64    2.833           10115           -6558          1.5003;
    65    2.878           10431           -6738          1.5003;
    66    2.922           10754           -6922          1.5003;
    67    2.966           11081           -7109          1.5003;
    68    3.010           11411           -7300          0.0000;
    69    3.055           11739           -7486          0.0000;
    70    3.099           12059           -7664          0.0000;
    71    3.143           12373           -7834          0.0000;
    72    3.188           12680           -7995          0.0000;
    73    3.232           12978           -8148          0.0000;
    74    3.276           13268           -8293          0.0000;
    75    3.320           13551           -8431          0.0000;
    76    3.365           13826           -8562          0.0000;
    77    3.409           14096           -8686          0.0000;
    78    3.453           14358           -8802          0.0000;
    79    3.497           14613           -8911          0.0000;
    80    3.542           14860           -9012          0.0000;
    81    3.586           15098           -9106          0.0000;
    82    3.630           15327           -9191          0.0000;
    83    3.674           15549           -9269          0.0000;
    84    3.719           15764           -9341          0.0000;
    85    3.763           15972           -9406          0.0000;
    86    3.807           16176           -9467          0.0000;
    87    3.852           16376           -9524          0.0000;
    88    3.896           16570           -9576          0.0000;
    89    3.940           16756           -9622          0.0000;
    90    3.984           16935           -9660          0.0000;
    91    4.029           17105           -9691          0.0000;
    92    4.073           17266           -9714          0.0000;
    93    4.117           17417           -9728          0.0000;
    94    4.161           17559           -9735          0.0000;
    95    4.206           17694           -9736          0.0000;
    96    4.250           17822           -9731          0.0000;
    97    4.294           17944           -9722          0.0000;
    98    4.339           18060           -9708          0.0000;
    99    4.383           18169           -9690          0.0000;
   100    4.427           18274           -9669          0.0000;
   101    4.471           18372           -9644          0.0000;
   102    4.516           18465           -9616          0.0000;
   103    4.560           18552           -9584          0.0000;
   104    4.604           18634           -9549          0.0000;
   105    4.648           18711           -9511          0.0000;
   106    4.693           18782           -9469          0.0000;
   107    4.737           18848           -9425          0.0000;
   108    4.781           18908           -9377          0.0000;
   109    4.826           18963           -9325          0.0000;
   110    4.870           19013           -9270          0.0000;
   111    4.914           19057           -9212          0.0000;
   112    4.958           19096           -9149          0.0000;
   113    5.003           19129           -9084          0.0000;
   114    5.047           19156           -9014          0.0000;
   115    5.091           19177           -8940          0.0000;
   116    5.135           19193           -8862          0.0000;
   117    5.180           19203           -8780          0.0000;
   118    5.224           19208           -8695          0.0000;
   119    5.268           19209           -8606          0.0000;
   120    5.313           19207           -8516          0.0000;
   121    5.357           19206           -8428          0.0000;
   122    5.401           19206           -8342          0.0000;
   123    5.445           19206           -8256          0.0000;
   124    5.490           19206           -8171          0.0000;
   125    5.534           19206           -8087          0.0000;
   126    5.578           19206           -8003          0.0000;
   127    5.622           19206           -7919          0.0000;
   128    5.667           19206           -7836          0.0000;
   129    5.711           19206           -7753          0.0000;
   130    5.755           19206           -7670          0.0000;
   131    5.799           19206           -7588          0.0000;
   132    5.844           19206           -7505          0.0000;
   133    5.888           19206           -7426          0.0000;
   134    5.932           19206           -7344          0.0000]
