 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.044               7              -4          2.2506;
     2    0.089              26             -21          2.2506;
     3    0.133              57             -49          2.2506;
     4    0.177              99             -87          2.2506;
     5    0.221             154            -134          2.2506;
     6    0.266             218            -190          2.2506;
     7    0.310             294            -255          2.2506;
     8    0.354             380            -330          2.2506;
     9    0.398             478            -414          2.2506;
    10    0.443             586            -507          2.2506;
    11    0.487             705            -609          2.2506;
    12    0.531             837            -721          2.2506;
    13    0.576             979            -842          2.2506;
    14    0.620            1134            -972          2.2506;
    15    0.664            1301           -1112          2.2506;
    16    0.708            1481           -1261          2.2506;
    17    0.753            1674           -1421          2.2506;
    18    0.797            1879           -1590          2.2506;
    19    0.841            2096           -1769          2.2506;
    20    0.885            2326           -1958          2.2506;
    21    0.930            2567           -2156          2.2506;
    22    0.974            2819           -2361          2.2506;
    23    1.018            3082           -2575          2.2506;
    24    1.063            3358           -2797          2.2506;
    25    1.107            3647           -3027          2.2506;
    26    1.151            3946           -3264          2.2506;
    27    1.195            4255           -3509          2.2506;
    28    1.240            4575           -3761          2.2506;
    29    1.284            4907           -4021          2.2506;
    30    1.328            5251           -4289          2.2506;
    31    1.372            5608           -4566          2.2506;
    32    1.417            5978           -4853          2.2506;
    33    1.461            6355           -5146          2.2506;
    34    1.505            6742           -5447          2.2506;
    35    1.549            7141           -5757          2.2506;
    36    1.594            7555           -6076          2.2506;
    37    1.638            7982           -6405          2.2506;
    38    1.682            8419           -6743          2.2506;
    39    1.727            8866           -7090          2.2506;
    40    1.771            9325           -7444          2.2506;
    41    1.815            9797           -7807          2.2506;
    42    1.859           10280           -8181          2.2506;
    43    1.904           10773           -8565          2.2506;
    44    1.948           11281           -8960          2.2506;
    45    1.992           11804           -9366          2.2506;
    46    2.036           12339           -9783          2.2506;
    47    2.081           12884          -10215          2.2506;
    48    2.125           13445          -10659          2.2506;
    49    2.169           14023          -11116          2.2506;
    50    2.214           14608          -11585          2.2506;
    51    2.258           15207          -12066          2.2506;
    52    2.302           15823          -12561          2.2506;
    53    2.346           16450          -13069          2.2506;
    54    2.391           17089          -13590          2.2506;
    55    2.435           17742          -14123          2.2506;
    56    2.479           18407          -14668          2.2506;
    57    2.523           19084          -15225          2.2506;
    58    2.568           19778          -15794          2.2506;
    59    2.612           20482          -16373          2.2506;
    60    2.656           21196          -16962          2.2506;
    61    2.701           21927          -17561          2.2506;
    62    2.745           22665          -18170          2.2506;
    63    2.789           23414          -18786          2.2506;
    64    2.833           24178          -19410          2.2506;
    65    2.878           24949          -20041          2.2506;
    66    2.922           25734          -20677          2.2506;
    67    2.966           26527          -21323          2.2506;
    68    3.010           27328          -21977          0.0000;
    69    3.055           28134          -22629          0.0000;
    70    3.099           28928          -23271          0.0000;
    71    3.143           29715          -23903          0.0000;
    72    3.188           30494          -24527          0.0000;
    73    3.232           31261          -25142          0.0000;
    74    3.276           32026          -25745          0.0000;
    75    3.320           32780          -26346          0.0000;
    76    3.365           33527          -26941          0.0000;
    77    3.409           34269          -27528          0.0000;
    78    3.453           35000          -28110          0.0000;
    79    3.497           35726          -28686          0.0000;
    80    3.542           36446          -29256          0.0000;
    81    3.586           37154          -29820          0.0000;
    82    3.630           37859          -30379          0.0000;
    83    3.674           38555          -30931          0.0000;
    84    3.719           39243          -31476          0.0000;
    85    3.763           39926          -32013          0.0000;
    86    3.807           40599          -32541          0.0000;
    87    3.852           41264          -33061          0.0000;
    88    3.896           41924          -33572          0.0000;
    89    3.940           42572          -34073          0.0000;
    90    3.984           43209          -34564          0.0000;
    91    4.029           43840          -35044          0.0000;
    92    4.073           44460          -35513          0.0000;
    93    4.117           45069          -35970          0.0000;
    94    4.161           45672          -36415          0.0000;
    95    4.206           46266          -36852          0.0000;
    96    4.250           46849          -37279          0.0000;
    97    4.294           47424          -37695          0.0000;
    98    4.339           47991          -38101          0.0000;
    99    4.383           48548          -38496          0.0000;
   100    4.427           49094          -38881          0.0000;
   101    4.471           49634          -39257          0.0000;
   102    4.516           50169          -39624          0.0000;
   103    4.560           50690          -39980          0.0000;
   104    4.604           51202          -40327          0.0000;
   105    4.648           51708          -40666          0.0000;
   106    4.693           52208          -40998          0.0000;
   107    4.737           52699          -41323          0.0000;
   108    4.781           53182          -41639          0.0000;
   109    4.826           53659          -41951          0.0000;
   110    4.870           54130          -42256          0.0000;
   111    4.914           54592          -42556          0.0000;
   112    4.958           55047          -42849          0.0000;
   113    5.003           55496          -43137          0.0000;
   114    5.047           55940          -43419          0.0000;
   115    5.091           56373          -43694          0.0000;
   116    5.135           56797          -43962          0.0000;
   117    5.180           57214          -44225          0.0000;
   118    5.224           57628          -44484          0.0000;
   119    5.268           58037          -44739          0.0000;
   120    5.313           58438          -44988          0.0000;
   121    5.357           58829          -45230          0.0000;
   122    5.401           59213          -45465          0.0000;
   123    5.445           59591          -45696          0.0000;
   124    5.490           59964          -45921          0.0000;
   125    5.534           60330          -46141          0.0000;
   126    5.578           60688          -46356          0.0000;
   127    5.622           61039          -46564          0.0000;
   128    5.667           61385          -46767          0.0000;
   129    5.711           61724          -46965          0.0000;
   130    5.755           62057          -47156          0.0000;
   131    5.799           62383          -47341          0.0000;
   132    5.844           62699          -47519          0.0000;
   133    5.888           63009          -47690          0.0000;
   134    5.932           63312          -47854          0.0000]
