 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.044               6              -4          2.0006;
     2    0.089              24             -20          2.0006;
     3    0.133              54             -46          2.0006;
     4    0.177              94             -81          2.0006;
     5    0.221             145            -125          2.0006;
     6    0.266             205            -177          2.0006;
     7    0.310             276            -237          2.0006;
     8    0.354             356            -306          2.0006;
     9    0.398             447            -382          2.0006;
    10    0.443             548            -466          2.0006;
    11    0.487             658            -559          2.0006;
    12    0.531             778            -659          2.0006;
    13    0.576             908            -766          2.0006;
    14    0.620            1047            -881          2.0006;
    15    0.664            1196           -1002          2.0006;
    16    0.708            1354           -1129          2.0006;
    17    0.753            1520           -1263          2.0006;
    18    0.797            1695           -1404          2.0006;
    19    0.841            1878           -1551          2.0006;
    20    0.885            2071           -1705          2.0006;
    21    0.930            2273           -1867          2.0006;
    22    0.974            2486           -2036          2.0006;
    23    1.018            2707           -2210          2.0006;
    24    1.063            2938           -2390          2.0006;
    25    1.107            3179           -2577          2.0006;
    26    1.151            3431           -2770          2.0006;
    27    1.195            3690           -2969          2.0006;
    28    1.240            3959           -3173          2.0006;
    29    1.284            4234           -3382          2.0006;
    30    1.328            4518           -3597          2.0006;
    31    1.372            4813           -3818          2.0006;
    32    1.417            5119           -4043          2.0006;
    33    1.461            5434           -4277          2.0006;
    34    1.505            5759           -4517          2.0006;
    35    1.549            6092           -4765          2.0006;
    36    1.594            6433           -5018          2.0006;
    37    1.638            6783           -5277          2.0006;
    38    1.682            7143           -5543          2.0006;
    39    1.727            7513           -5815          2.0006;
    40    1.771            7892           -6092          2.0006;
    41    1.815            8278           -6377          2.0006;
    42    1.859            8674           -6669          2.0006;
    43    1.904            9083           -6968          2.0006;
    44    1.948            9501           -7275          2.0006;
    45    1.992            9927           -7587          2.0006;
    46    2.036           10359           -7906          2.0006;
    47    2.081           10803           -8233          2.0006;
    48    2.125           11259           -8569          2.0006;
    49    2.169           11726           -8914          2.0006;
    50    2.214           12201           -9269          2.0006;
    51    2.258           12687           -9631          2.0006;
    52    2.302           13186          -10006          2.0006;
    53    2.346           13697          -10391          2.0006;
    54    2.391           14216          -10787          2.0006;
    55    2.435           14746          -11194          2.0006;
    56    2.479           15290          -11612          2.0006;
    57    2.523           15843          -12039          2.0006;
    58    2.568           16405          -12478          2.0006;
    59    2.612           16978          -12927          2.0006;
    60    2.656           17566          -13389          2.0006;
    61    2.701           18162          -13860          2.0006;
    62    2.745           18766          -14341          2.0006;
    63    2.789           19386          -14833          2.0006;
    64    2.833           20015          -15334          2.0006;
    65    2.878           20652          -15845          2.0006;
    66    2.922           21302          -16364          2.0006;
    67    2.966           21962          -16891          2.0006;
    68    3.010           22627          -17425          0.0000;
    69    3.055           23295          -17958          0.0000;
    70    3.099           23955          -18481          0.0000;
    71    3.143           24602          -18993          0.0000;
    72    3.188           25242          -19493          0.0000;
    73    3.232           25876          -19982          0.0000;
    74    3.276           26497          -20459          0.0000;
    75    3.320           27107          -20925          0.0000;
    76    3.365           27712          -21382          0.0000;
    77    3.409           28305          -21829          0.0000;
    78    3.453           28889          -22265          0.0000;
    79    3.497           29466          -22691          0.0000;
    80    3.542           30033          -23109          0.0000;
    81    3.586           30591          -23515          0.0000;
    82    3.630           31142          -23914          0.0000;
    83    3.674           31686          -24304          0.0000;
    84    3.719           32222          -24686          0.0000;
    85    3.763           32746          -25060          0.0000;
    86    3.807           33267          -25423          0.0000;
    87    3.852           33782          -25783          0.0000;
    88    3.896           34287          -26137          0.0000;
    89    3.940           34783          -26484          0.0000;
    90    3.984           35274          -26824          0.0000;
    91    4.029           35757          -27158          0.0000;
    92    4.073           36231          -27486          0.0000;
    93    4.117           36698          -27808          0.0000;
    94    4.161           37159          -28125          0.0000;
    95    4.206           37615          -28437          0.0000;
    96    4.250           38062          -28744          0.0000;
    97    4.294           38502          -29045          0.0000;
    98    4.339           38936          -29342          0.0000;
    99    4.383           39366          -29634          0.0000;
   100    4.427           39790          -29920          0.0000;
   101    4.471           40204          -30201          0.0000;
   102    4.516           40611          -30475          0.0000;
   103    4.560           41011          -30743          0.0000;
   104    4.604           41407          -31004          0.0000;
   105    4.648           41795          -31260          0.0000;
   106    4.693           42175          -31509          0.0000;
   107    4.737           42547          -31751          0.0000;
   108    4.781           42910          -31984          0.0000;
   109    4.826           43266          -32209          0.0000;
   110    4.870           43614          -32423          0.0000;
   111    4.914           43952          -32630          0.0000;
   112    4.958           44280          -32829          0.0000;
   113    5.003           44601          -33017          0.0000;
   114    5.047           44913          -33198          0.0000;
   115    5.091           45219          -33369          0.0000;
   116    5.135           45517          -33532          0.0000;
   117    5.180           45807          -33686          0.0000;
   118    5.224           46086          -33830          0.0000;
   119    5.268           46357          -33964          0.0000;
   120    5.313           46620          -34088          0.0000;
   121    5.357           46874          -34203          0.0000;
   122    5.401           47121          -34307          0.0000;
   123    5.445           47361          -34402          0.0000;
   124    5.490           47592          -34487          0.0000;
   125    5.534           47816          -34562          0.0000;
   126    5.578           48029          -34626          0.0000;
   127    5.622           48232          -34679          0.0000;
   128    5.667           48427          -34721          0.0000;
   129    5.711           48612          -34751          0.0000;
   130    5.755           48788          -34770          0.0000;
   131    5.799           48957          -34779          0.0000;
   132    5.844           49116          -34780          0.0000;
   133    5.888           49267          -34767          0.0000;
   134    5.932           49408          -34744          0.0000]
