 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.044               5              -4          1.7503;
     2    0.089              21             -18          1.7503;
     3    0.133              45             -39          1.7503;
     4    0.177              77             -67          1.7503;
     5    0.221             118            -103          1.7503;
     6    0.266             166            -145          1.7503;
     7    0.310             223            -195          1.7503;
     8    0.354             289            -251          1.7503;
     9    0.398             362            -315          1.7503;
    10    0.443             444            -385          1.7503;
    11    0.487             534            -461          1.7503;
    12    0.531             632            -545          1.7503;
    13    0.576             738            -634          1.7503;
    14    0.620             852            -730          1.7503;
    15    0.664             973            -832          1.7503;
    16    0.708            1101            -940          1.7503;
    17    0.753            1237           -1053          1.7503;
    18    0.797            1379           -1172          1.7503;
    19    0.841            1529           -1296          1.7503;
    20    0.885            1685           -1424          1.7503;
    21    0.930            1848           -1557          1.7503;
    22    0.974            2019           -1696          1.7503;
    23    1.018            2199           -1841          1.7503;
    24    1.063            2388           -1992          1.7503;
    25    1.107            2586           -2149          1.7503;
    26    1.151            2791           -2310          1.7503;
    27    1.195            3004           -2476          1.7503;
    28    1.240            3222           -2645          1.7503;
    29    1.284            3445           -2818          1.7503;
    30    1.328            3676           -2994          1.7503;
    31    1.372            3911           -3173          1.7503;
    32    1.417            4153           -3355          1.7503;
    33    1.461            4402           -3539          1.7503;
    34    1.505            4659           -3727          1.7503;
    35    1.549            4923           -3919          1.7503;
    36    1.594            5195           -4114          1.7503;
    37    1.638            5474           -4318          1.7503;
    38    1.682            5760           -4526          1.7503;
    39    1.727            6054           -4738          1.7503;
    40    1.771            6353           -4952          1.7503;
    41    1.815            6660           -5169          1.7503;
    42    1.859            6973           -5391          1.7503;
    43    1.904            7291           -5617          1.7503;
    44    1.948            7616           -5847          1.7503;
    45    1.992            7949           -6082          1.7503;
    46    2.036            8291           -6323          1.7503;
    47    2.081            8642           -6568          1.7503;
    48    2.125            9001           -6819          1.7503;
    49    2.169            9365           -7074          1.7503;
    50    2.214            9735           -7335          1.7503;
    51    2.258           10114           -7600          1.7503;
    52    2.302           10503           -7872          1.7503;
    53    2.346           10902           -8151          1.7503;
    54    2.391           11306           -8437          1.7503;
    55    2.435           11717           -8729          1.7503;
    56    2.479           12136           -9027          1.7503;
    57    2.523           12564           -9332          1.7503;
    58    2.568           13003           -9642          1.7503;
    59    2.612           13447           -9963          1.7503;
    60    2.656           13899          -10293          1.7503;
    61    2.701           14361          -10631          1.7503;
    62    2.745           14833          -10977          1.7503;
    63    2.789           15311          -11330          1.7503;
    64    2.833           15795          -11692          1.7503;
    65    2.878           16290          -12063          1.7503;
    66    2.922           16798          -12445          1.7503;
    67    2.966           17315          -12836          1.7503;
    68    3.010           17835          -13236          0.0000;
    69    3.055           18358          -13636          0.0000;
    70    3.099           18877          -14030          0.0000;
    71    3.143           19387          -14420          0.0000;
    72    3.188           19890          -14803          0.0000;
    73    3.232           20385          -15179          0.0000;
    74    3.276           20874          -15547          0.0000;
    75    3.320           21354          -15907          0.0000;
    76    3.365           21824          -16260          0.0000;
    77    3.409           22287          -16605          0.0000;
    78    3.453           22745          -16941          0.0000;
    79    3.497           23194          -17266          0.0000;
    80    3.542           23629          -17582          0.0000;
    81    3.586           24056          -17889          0.0000;
    82    3.630           24476          -18187          0.0000;
    83    3.674           24890          -18475          0.0000;
    84    3.719           25294          -18753          0.0000;
    85    3.763           25688          -19020          0.0000;
    86    3.807           26072          -19276          0.0000;
    87    3.852           26448          -19521          0.0000;
    88    3.896           26817          -19755          0.0000;
    89    3.940           27178          -19978          0.0000;
    90    3.984           27528          -20189          0.0000;
    91    4.029           27869          -20392          0.0000;
    92    4.073           28200          -20584          0.0000;
    93    4.117           28525          -20765          0.0000;
    94    4.161           28841          -20936          0.0000;
    95    4.206           29146          -21096          0.0000;
    96    4.250           29442          -21244          0.0000;
    97    4.294           29728          -21383          0.0000;
    98    4.339           30006          -21512          0.0000;
    99    4.383           30278          -21632          0.0000;
   100    4.427           30543          -21744          0.0000;
   101    4.471           30800          -21846          0.0000;
   102    4.516           31048          -21937          0.0000;
   103    4.560           31285          -22017          0.0000;
   104    4.604           31512          -22086          0.0000;
   105    4.648           31728          -22145          0.0000;
   106    4.693           31935          -22193          0.0000;
   107    4.737           32135          -22231          0.0000;
   108    4.781           32326          -22260          0.0000;
   109    4.826           32509          -22279          0.0000;
   110    4.870           32686          -22289          0.0000;
   111    4.914           32855          -22291          0.0000;
   112    4.958           33017          -22286          0.0000;
   113    5.003           33173          -22273          0.0000;
   114    5.047           33320          -22253          0.0000;
   115    5.091           33460          -22225          0.0000;
   116    5.135           33592          -22188          0.0000;
   117    5.180           33714          -22142          0.0000;
   118    5.224           33829          -22087          0.0000;
   119    5.268           33936          -22024          0.0000;
   120    5.313           34034          -21952          0.0000;
   121    5.357           34125          -21873          0.0000;
   122    5.401           34210          -21786          0.0000;
   123    5.445           34288          -21693          0.0000;
   124    5.490           34359          -21592          0.0000;
   125    5.534           34424          -21485          0.0000;
   126    5.578           34483          -21370          0.0000;
   127    5.622           34534          -21247          0.0000;
   128    5.667           34577          -21117          0.0000;
   129    5.711           34614          -20978          0.0000;
   130    5.755           34643          -20831          0.0000;
   131    5.799           34664          -20677          0.0000;
   132    5.844           34678          -20514          0.0000;
   133    5.888           34686          -20345          0.0000;
   134    5.932           34687          -20168          0.0000]
