 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.009               0               0          1.5003;
     2    0.018               1               0          1.5003;
     3    0.027               2              -0          1.5003;
     4    0.035               3              -2          1.5003;
     5    0.044               5              -3          1.5003;
     6    0.053               7              -5          1.5003;
     7    0.062               9              -7          1.5003;
     8    0.071              11              -9          1.5003;
     9    0.080              14             -12          1.5003;
    10    0.089              17             -15          1.5003;
    11    0.097              21             -18          1.5003;
    12    0.106              24             -21          1.5003;
    13    0.115              28             -24          1.5003;
    14    0.124              33             -28          1.5003;
    15    0.133              37             -32          1.5003;
    16    0.142              42             -36          1.5003;
    17    0.151              47             -41          1.5003;
    18    0.159              52             -45          1.5003;
    19    0.168              58             -50          1.5003;
    20    0.177              63             -55          1.5003;
    21    0.186              69             -60          1.5003;
    22    0.195              76             -65          1.5003;
    23    0.204              82             -71          1.5003;
    24    0.213              89             -76          1.5003;
    25    0.221              95             -82          1.5003;
    26    0.230             102             -88          1.5003;
    27    0.239             110             -94          1.5003;
    28    0.248             117            -100          1.5003;
    29    0.257             124            -107          1.5003;
    30    0.266             132            -113          1.5003;
    31    0.274             140            -120          1.5003;
    32    0.283             148            -127          1.5003;
    33    0.292             156            -134          1.5003;
    34    0.301             165            -141          1.5003;
    35    0.310             173            -148          1.5003;
    36    0.319             182            -156          1.5003;
    37    0.328             191            -163          1.5003;
    38    0.336             201            -171          1.5003;
    39    0.345             210            -179          1.5003;
    40    0.354             220            -187          1.5003;
    41    0.363             229            -195          1.5003;
    42    0.372             239            -203          1.5003;
    43    0.381             250            -211          1.5003;
    44    0.390             260            -220          1.5003;
    45    0.398             270            -229          1.5003;
    46    0.407             281            -238          1.5003;
    47    0.416             292            -246          1.5003;
    48    0.425             303            -255          1.5003;
    49    0.434             314            -265          1.5003;
    50    0.443             325            -274          1.5003;
    51    0.452             337            -283          1.5003;
    52    0.460             348            -293          1.5003;
    53    0.469             360            -302          1.5003;
    54    0.478             372            -312          1.5003;
    55    0.487             384            -322          1.5003;
    56    0.496             397            -332          1.5003;
    57    0.505             409            -342          1.5003;
    58    0.514             422            -352          1.5003;
    59    0.522             435            -363          1.5003;
    60    0.531             448            -373          1.5003;
    61    0.540             461            -384          1.5003;
    62    0.549             474            -395          1.5003;
    63    0.558             488            -406          1.5003;
    64    0.567             501            -416          1.5003;
    65    0.576             515            -428          1.5003;
    66    0.584             529            -439          1.5003;
    67    0.593             544            -450          1.5003;
    68    0.602             558            -462          1.5003;
    69    0.611             573            -474          1.5003;
    70    0.620             588            -486          1.5003;
    71    0.629             603            -498          1.5003;
    72    0.638             619            -510          1.5003;
    73    0.646             634            -522          1.5003;
    74    0.655             650            -535          1.5003;
    75    0.664             666            -547          1.5003;
    76    0.673             682            -560          1.5003;
    77    0.682             698            -573          1.5003;
    78    0.691             715            -586          1.5003;
    79    0.699             732            -600          1.5003;
    80    0.708             749            -613          1.5003;
    81    0.717             766            -627          1.5003;
    82    0.726             783            -641          1.5003;
    83    0.735             801            -655          1.5003;
    84    0.744             818            -669          1.5003;
    85    0.753             836            -683          1.5003;
    86    0.761             855            -697          1.5003;
    87    0.770             873            -712          1.5003;
    88    0.779             892            -727          1.5003;
    89    0.788             911            -742          1.5003;
    90    0.797             930            -757          1.5003;
    91    0.806             950            -772          1.5003;
    92    0.815             969            -787          1.5003;
    93    0.823             989            -803          1.5003;
    94    0.832            1009            -818          1.5003;
    95    0.841            1029            -834          1.5003;
    96    0.850            1050            -850          1.5003;
    97    0.859            1071            -867          1.5003;
    98    0.868            1092            -883          1.5003;
    99    0.877            1113            -899          1.5003;
   100    0.885            1135            -916          1.5003;
   101    0.894            1156            -934          1.5003;
   102    0.903            1179            -951          1.5003;
   103    0.912            1201            -968          1.5003;
   104    0.921            1224            -986          1.5003;
   105    0.930            1247           -1003          1.5003;
   106    0.939            1270           -1021          1.5003;
   107    0.947            1293           -1039          1.5003;
   108    0.956            1316           -1057          1.5003;
   109    0.965            1340           -1075          1.5003;
   110    0.974            1364           -1094          1.5003;
   111    0.983            1388           -1113          1.5003;
   112    0.992            1413           -1132          1.5003;
   113    1.001            1438           -1151          1.5003;
   114    1.009            1463           -1170          1.5003;
   115    1.018            1487           -1189          1.5003;
   116    1.027            1513           -1209          1.5003;
   117    1.036            1539           -1228          1.5003;
   118    1.045            1565           -1248          1.5003;
   119    1.054            1591           -1268          1.5003;
   120    1.063            1617           -1288          1.5003;
   121    1.071            1643           -1308          1.5003;
   122    1.080            1670           -1328          1.5003;
   123    1.089            1697           -1349          1.5003;
   124    1.098            1724           -1369          1.5003;
   125    1.107            1751           -1390          1.5003;
   126    1.116            1779           -1411          1.5003;
   127    1.124            1807           -1431          1.5003;
   128    1.133            1834           -1452          1.5003;
   129    1.142            1863           -1473          1.5003;
   130    1.151            1891           -1494          1.5003;
   131    1.160            1919           -1516          1.5003;
   132    1.169            1948           -1537          1.5003;
   133    1.178            1977           -1558          1.5003;
   134    1.186            2005           -1580          1.5003;
   135    1.195            2035           -1602          1.5003;
   136    1.204            2064           -1623          1.5003;
   137    1.213            2094           -1645          1.5003;
   138    1.222            2124           -1667          1.5003;
   139    1.231            2154           -1689          1.5003;
   140    1.240            2184           -1711          1.5003;
   141    1.248            2214           -1733          1.5003;
   142    1.257            2245           -1756          1.5003;
   143    1.266            2276           -1778          1.5003;
   144    1.275            2307           -1801          1.5003;
   145    1.284            2339           -1823          1.5003;
   146    1.293            2370           -1846          1.5003;
   147    1.302            2402           -1869          1.5003;
   148    1.310            2434           -1892          1.5003;
   149    1.319            2467           -1915          1.5003;
   150    1.328            2498           -1939          1.5003;
   151    1.337            2531           -1962          1.5003;
   152    1.346            2564           -1986          1.5003;
   153    1.355            2597           -2009          1.5003;
   154    1.364            2630           -2033          1.5003;
   155    1.372            2663           -2056          1.5003;
   156    1.381            2696           -2080          1.5003;
   157    1.390            2730           -2104          1.5003;
   158    1.399            2764           -2128          1.5003;
   159    1.408            2798           -2152          1.5003;
   160    1.417            2831           -2177          1.5003;
   161    1.426            2865           -2201          1.5003;
   162    1.434            2900           -2225          1.5003;
   163    1.443            2935           -2250          1.5003;
   164    1.452            2970           -2274          1.5003;
   165    1.461            3004           -2299          1.5003;
   166    1.470            3039           -2323          1.5003;
   167    1.479            3075           -2348          1.5003;
   168    1.488            3111           -2373          1.5003;
   169    1.496            3146           -2398          1.5003;
   170    1.505            3182           -2423          1.5003;
   171    1.514            3218           -2448          1.5003;
   172    1.523            3254           -2473          1.5003;
   173    1.532            3290           -2498          1.5003;
   174    1.541            3326           -2523          1.5003;
   175    1.549            3363           -2548          1.5003;
   176    1.558            3400           -2574          1.5003;
   177    1.567            3437           -2599          1.5003;
   178    1.576            3474           -2624          1.5003;
   179    1.585            3511           -2650          1.5003;
   180    1.594            3549           -2675          1.5003;
   181    1.603            3587           -2701          1.5003;
   182    1.611            3624           -2726          1.5003;
   183    1.620            3662           -2752          1.5003;
   184    1.629            3701           -2778          1.5003;
   185    1.638            3739           -2803          1.5003;
   186    1.647            3778           -2829          1.5003;
   187    1.656            3816           -2855          1.5003;
   188    1.665            3855           -2881          1.5003;
   189    1.673            3895           -2907          1.5003;
   190    1.682            3934           -2933          1.5003;
   191    1.691            3973           -2959          1.5003;
   192    1.700            4013           -2985          1.5003;
   193    1.709            4054           -3011          1.5003;
   194    1.718            4094           -3038          1.5003;
   195    1.727            4134           -3064          1.5003;
   196    1.735            4175           -3091          1.5003;
   197    1.744            4216           -3117          1.5003;
   198    1.753            4258           -3144          1.5003;
   199    1.762            4299           -3171          1.5003;
   200    1.771            4340           -3197          1.5003;
   201    1.780            4382           -3224          1.5003;
   202    1.789            4424           -3251          1.5003;
   203    1.797            4467           -3278          1.5003;
   204    1.806            4509           -3305          1.5003;
   205    1.815            4551           -3332          1.5003;
