 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.009               0               0          2.3007;
     2    0.018               0               0          2.3007;
     3    0.027               2              -0          2.3007;
     4    0.035               5              -3          2.3007;
     5    0.044               7              -5          2.3007;
     6    0.053              11              -8          2.3007;
     7    0.062              15             -12          2.3007;
     8    0.071              20             -16          2.3007;
     9    0.080              25             -21          2.3007;
    10    0.089              31             -26          2.3007;
    11    0.097              37             -32          2.3007;
    12    0.106              44             -38          2.3007;
    13    0.115              52             -45          2.3007;
    14    0.124              60             -52          2.3007;
    15    0.133              69             -60          2.3007;
    16    0.142              78             -68          2.3007;
    17    0.151              88             -77          2.3007;
    18    0.159              98             -86          2.3007;
    19    0.168             109             -96          2.3007;
    20    0.177             120            -106          2.3007;
    21    0.186             132            -116          2.3007;
    22    0.195             145            -127          2.3007;
    23    0.204             157            -139          2.3007;
    24    0.213             171            -150          2.3007;
    25    0.221             185            -163          2.3007;
    26    0.230             199            -175          2.3007;
    27    0.239             214            -188          2.3007;
    28    0.248             229            -202          2.3007;
    29    0.257             245            -216          2.3007;
    30    0.266             261            -230          2.3007;
    31    0.274             278            -245          2.3007;
    32    0.283             295            -260          2.3007;
    33    0.292             312            -275          2.3007;
    34    0.301             330            -291          2.3007;
    35    0.310             349            -307          2.3007;
    36    0.319             368            -323          2.3007;
    37    0.328             387            -340          2.3007;
    38    0.336             406            -357          2.3007;
    39    0.345             426            -375          2.3007;
    40    0.354             447            -393          2.3007;
    41    0.363             468            -411          2.3007;
    42    0.372             489            -429          2.3007;
    43    0.381             511            -448          2.3007;
    44    0.390             533            -467          2.3007;
    45    0.398             556            -487          2.3007;
    46    0.407             579            -507          2.3007;
    47    0.416             602            -527          2.3007;
    48    0.425             627            -548          2.3007;
    49    0.434             651            -569          2.3007;
    50    0.443             676            -590          2.3007;
    51    0.452             701            -612          2.3007;
    52    0.460             727            -633          2.3007;
    53    0.469             753            -656          2.3007;
    54    0.478             780            -679          2.3007;
    55    0.487             807            -702          2.3007;
    56    0.496             834            -725          2.3007;
    57    0.505             862            -749          2.3007;
    58    0.514             891            -773          2.3007;
    59    0.522             920            -798          2.3007;
    60    0.531             949            -823          2.3007;
    61    0.540             979            -848          2.3007;
    62    0.549            1010            -874          2.3007;
    63    0.558            1041            -900          2.3007;
    64    0.567            1072            -927          2.3007;
    65    0.576            1104            -953          2.3007;
    66    0.584            1136            -981          2.3007;
    67    0.593            1169           -1008          2.3007;
    68    0.602            1202           -1036          2.3007;
    69    0.611            1235           -1065          2.3007;
    70    0.620            1269           -1094          2.3007;
    71    0.629            1304           -1123          2.3007;
    72    0.638            1339           -1152          2.3007;
    73    0.646            1375           -1182          2.3007;
    74    0.655            1410           -1213          2.3007;
    75    0.664            1446           -1244          2.3007;
    76    0.673            1484           -1275          2.3007;
    77    0.682            1521           -1306          2.3007;
    78    0.691            1559           -1338          2.3007;
    79    0.699            1597           -1370          2.3007;
    80    0.708            1636           -1403          2.3007;
    81    0.717            1675           -1436          2.3007;
    82    0.726            1714           -1469          2.3007;
    83    0.735            1754           -1503          2.3007;
    84    0.744            1795           -1537          2.3007;
    85    0.753            1837           -1571          2.3007;
    86    0.761            1878           -1606          2.3007;
    87    0.770            1920           -1641          2.3007;
    88    0.779            1962           -1677          2.3007;
    89    0.788            2005           -1713          2.3007;
    90    0.797            2049           -1749          2.3007;
    91    0.806            2093           -1786          2.3007;
    92    0.815            2137           -1823          2.3007;
    93    0.823            2182           -1860          2.3007;
    94    0.832            2228           -1898          2.3007;
    95    0.841            2274           -1937          2.3007;
    96    0.850            2320           -1975          2.3007;
    97    0.859            2367           -2014          2.3007;
    98    0.868            2414           -2053          2.3007;
    99    0.877            2462           -2093          2.3007;
   100    0.885            2511           -2133          2.3007;
   101    0.894            2560           -2173          2.3007;
   102    0.903            2609           -2214          2.3007;
   103    0.912            2660           -2255          2.3007;
   104    0.921            2710           -2297          2.3007;
   105    0.930            2761           -2339          2.3007;
   106    0.939            2813           -2381          2.3007;
   107    0.947            2865           -2424          2.3007;
   108    0.956            2918           -2466          2.3007;
   109    0.965            2971           -2510          2.3007;
   110    0.974            3025           -2553          2.3007;
   111    0.983            3079           -2597          2.3007;
   112    0.992            3133           -2642          2.3007;
   113    1.001            3189           -2686          2.3007;
   114    1.009            3244           -2731          2.3007;
   115    1.018            3300           -2777          2.3007;
   116    1.027            3357           -2822          2.3007;
   117    1.036            3413           -2868          2.3007;
   118    1.045            3470           -2915          2.3007;
   119    1.054            3528           -2961          2.3007;
   120    1.063            3586           -3008          2.3007;
   121    1.071            3645           -3056          2.3007;
   122    1.080            3704           -3103          2.3007;
   123    1.089            3762           -3151          2.3007;
   124    1.098            3823           -3200          2.3007;
   125    1.107            3883           -3248          2.3007;
   126    1.116            3943           -3297          2.3007;
   127    1.124            4005           -3347          2.3007;
   128    1.133            4066           -3396          2.3007;
   129    1.142            4128           -3446          2.3007;
   130    1.151            4191           -3496          2.3007;
   131    1.160            4254           -3547          2.3007;
   132    1.169            4318           -3597          2.3007;
   133    1.178            4382           -3649          2.3007;
   134    1.186            4446           -3700          2.3007;
   135    1.195            4512           -3752          2.3007;
   136    1.204            4577           -3804          2.3007;
   137    1.213            4643           -3856          2.3007;
   138    1.222            4710           -3909          2.3007;
   139    1.231            4777           -3962          2.3007;
   140    1.240            4845           -4015          2.3007;
   141    1.248            4913           -4068          2.3007;
   142    1.257            4982           -4122          2.3007;
   143    1.266            5052           -4175          2.3007;
   144    1.275            5121           -4229          2.3007;
   145    1.284            5192           -4284          2.3007;
   146    1.293            5262           -4340          2.3007;
   147    1.302            5334           -4396          2.3007;
   148    1.310            5405           -4452          2.3007;
   149    1.319            5477           -4508          2.3007;
   150    1.328            5550           -4565          2.3007;
   151    1.337            5621           -4622          2.3007;
   152    1.346            5695           -4679          2.3007;
   153    1.355            5768           -4737          2.3007;
   154    1.364            5842           -4795          2.3007;
   155    1.372            5916           -4853          2.3007;
   156    1.381            5991           -4912          2.3007;
   157    1.390            6066           -4972          2.3007;
   158    1.399            6142           -5031          2.3007;
   159    1.408            6219           -5090          2.3007;
   160    1.417            6295           -5150          2.3007;
   161    1.426            6373           -5211          2.3007;
   162    1.434            6451           -5271          2.3007;
   163    1.443            6529           -5332          2.3007;
   164    1.452            6608           -5393          2.3007;
   165    1.461            6687           -5455          2.3007;
   166    1.470            6767           -5517          2.3007;
   167    1.479            6847           -5579          2.3007;
   168    1.488            6928           -5642          2.3007;
   169    1.496            7009           -5704          2.3007;
   170    1.505            7091           -5768          2.3007;
   171    1.514            7173           -5831          2.3007;
   172    1.523            7256           -5894          2.3007;
   173    1.532            7339           -5958          2.3007;
   174    1.541            7422           -6023          2.3007;
   175    1.549            7506           -6087          2.3007;
   176    1.558            7590           -6152          2.3007;
   177    1.567            7675           -6217          2.3007;
   178    1.576            7759           -6283          2.3007;
   179    1.585            7845           -6349          2.3007;
   180    1.594            7930           -6415          2.3007;
   181    1.603            8017           -6482          2.3007;
   182    1.611            8103           -6549          2.3007;
   183    1.620            8191           -6616          2.3007;
   184    1.629            8279           -6684          2.3007;
   185    1.638            8367           -6753          2.3007;
   186    1.647            8456           -6821          2.3007;
   187    1.656            8546           -6890          2.3007;
   188    1.665            8636           -6960          2.3007;
   189    1.673            8727           -7029          2.3007;
   190    1.682            8818           -7099          2.3007;
   191    1.691            8910           -7170          2.3007;
   192    1.700            9003           -7240          2.3007;
   193    1.709            9095           -7311          2.3007;
   194    1.718            9189           -7382          2.3007;
   195    1.727            9283           -7454          2.3007;
   196    1.735            9377           -7526          2.3007;
   197    1.744            9471           -7598          2.3007;
   198    1.753            9566           -7671          2.3007;
   199    1.762            9661           -7744          2.3007;
   200    1.771            9756           -7817          2.3007;
   201    1.780            9852           -7891          2.3007;
   202    1.789            9948           -7966          2.3007;
