 Sample   Time     Encoder 1 Pos   Encoder 3 Pos   Control Effort 1

[    0    0.000               0               0          0.0000;
     1    0.009               1               0          2.5006;
     2    0.018               2              -0          2.5006;
     3    0.027               3              -2          2.5006;
     4    0.035               6              -4          2.5006;
     5    0.044               8              -7          2.5006;
     6    0.053              12             -10          2.5006;
     7    0.062              16             -14          2.5006;
     8    0.071              21             -18          2.5006;
     9    0.080              27             -23          2.5006;
    10    0.089              33             -28          2.5006;
    11    0.097              40             -34          2.5006;
    12    0.106              47             -41          2.5006;
    13    0.115              55             -48          2.5006;
    14    0.124              63             -56          2.5006;
    15    0.133              72             -64          2.5006;
    16    0.142              82             -72          2.5006;
    17    0.151              92             -81          2.5006;
    18    0.159             103             -91          2.5006;
    19    0.168             114            -101          2.5006;
    20    0.177             126            -112          2.5006;
    21    0.186             139            -123          2.5006;
    22    0.195             152            -134          2.5006;
    23    0.204             166            -146          2.5006;
    24    0.213             180            -159          2.5006;
    25    0.221             194            -171          2.5006;
    26    0.230             210            -185          2.5006;
    27    0.239             225            -199          2.5006;
    28    0.248             241            -213          2.5006;
    29    0.257             258            -227          2.5006;
    30    0.266             275            -243          2.5006;
    31    0.274             293            -258          2.5006;
    32    0.283             311            -274          2.5006;
    33    0.292             330            -291          2.5006;
    34    0.301             349            -307          2.5006;
    35    0.310             369            -324          2.5006;
    36    0.319             390            -342          2.5006;
    37    0.328             410            -360          2.5006;
    38    0.336             431            -379          2.5006;
    39    0.345             453            -398          2.5006;
    40    0.354             476            -417          2.5006;
    41    0.363             498            -436          2.5006;
    42    0.372             522            -457          2.5006;
    43    0.381             546            -477          2.5006;
    44    0.390             570            -498          2.5006;
    45    0.398             595            -520          2.5006;
    46    0.407             620            -542          2.5006;
    47    0.416             646            -564          2.5006;
    48    0.425             673            -587          2.5006;
    49    0.434             699            -610          2.5006;
    50    0.443             727            -633          2.5006;
    51    0.452             755            -657          2.5006;
    52    0.460             783            -682          2.5006;
    53    0.469             812            -707          2.5006;
    54    0.478             842            -732          2.5006;
    55    0.487             872            -758          2.5006;
    56    0.496             903            -784          2.5006;
    57    0.505             934            -811          2.5006;
    58    0.514             966            -838          2.5006;
    59    0.522             999            -865          2.5006;
    60    0.531            1032            -893          2.5006;
    61    0.540            1065            -922          2.5006;
    62    0.549            1099            -951          2.5006;
    63    0.558            1134            -980          2.5006;
    64    0.567            1170           -1011          2.5006;
    65    0.576            1206           -1041          2.5006;
    66    0.584            1242           -1072          2.5006;
    67    0.593            1279           -1103          2.5006;
    68    0.602            1317           -1135          2.5006;
    69    0.611            1356           -1167          2.5006;
    70    0.620            1395           -1200          2.5006;
    71    0.629            1434           -1233          2.5006;
    72    0.638            1474           -1266          2.5006;
    73    0.646            1514           -1300          2.5006;
    74    0.655            1556           -1335          2.5006;
    75    0.664            1597           -1370          2.5006;
    76    0.673            1639           -1405          2.5006;
    77    0.682            1682           -1441          2.5006;
    78    0.691            1725           -1477          2.5006;
    79    0.699            1769           -1514          2.5006;
    80    0.708            1813           -1551          2.5006;
    81    0.717            1858           -1589          2.5006;
    82    0.726            1904           -1627          2.5006;
    83    0.735            1949           -1665          2.5006;
    84    0.744            1996           -1704          2.5006;
    85    0.753            2043           -1744          2.5006;
    86    0.761            2090           -1783          2.5006;
    87    0.770            2138           -1824          2.5006;
    88    0.779            2187           -1865          2.5006;
    89    0.788            2236           -1906          2.5006;
    90    0.797            2286           -1948          2.5006;
    91    0.806            2336           -1990          2.5006;
    92    0.815            2387           -2032          2.5006;
    93    0.823            2438           -2075          2.5006;
    94    0.832            2491           -2119          2.5006;
    95    0.841            2544           -2163          2.5006;
    96    0.850            2597           -2207          2.5006;
    97    0.859            2651           -2252          2.5006;
    98    0.868            2706           -2297          2.5006;
    99    0.877            2760           -2343          2.5006;
   100    0.885            2816           -2389          2.5006;
   101    0.894            2873           -2436          2.5006;
   102    0.903            2929           -2483          2.5006;
   103    0.912            2987           -2530          2.5006;
   104    0.921            3045           -2578          2.5006;
   105    0.930            3103           -2626          2.5006;
   106    0.939            3163           -2675          2.5006;
   107    0.947            3223           -2724          2.5006;
   108    0.956            3283           -2773          2.5006;
   109    0.965            3344           -2823          2.5006;
   110    0.974            3406           -2873          2.5006;
   111    0.983            3468           -2924          2.5006;
   112    0.992            3531           -2975          2.5006;
   113    1.001            3594           -3026          2.5006;
   114    1.009            3657           -3078          2.5006;
   115    1.018            3721           -3130          2.5006;
   116    1.027            3785           -3183          2.5006;
   117    1.036            3850           -3235          2.5006;
   118    1.045            3916           -3288          2.5006;
   119    1.054            3982           -3342          2.5006;
   120    1.063            4049           -3396          2.5006;
   121    1.071            4115           -3450          2.5006;
   122    1.080            4183           -3505          2.5006;
   123    1.089            4251           -3560          2.5006;
   124    1.098            4319           -3615          2.5006;
   125    1.107            4388           -3671          2.5006;
   126    1.116            4457           -3727          2.5006;
   127    1.124            4527           -3784          2.5006;
   128    1.133            4598           -3840          2.5006;
   129    1.142            4669           -3898          2.5006;
   130    1.151            4740           -3955          2.5006;
   131    1.160            4812           -4012          2.5006;
   132    1.169            4886           -4070          2.5006;
   133    1.178            4959           -4128          2.5006;
   134    1.186            5034           -4187          2.5006;
   135    1.195            5108           -4247          2.5006;
   136    1.204            5184           -4308          2.5006;
   137    1.213            5260           -4368          2.5006;
   138    1.222            5336           -4429          2.5006;
   139    1.231            5414           -4490          2.5006;
   140    1.240            5491           -4552          2.5006;
   141    1.248            5569           -4614          2.5006;
   142    1.257            5648           -4677          2.5006;
   143    1.266            5727           -4740          2.5006;
   144    1.275            5806           -4803          2.5006;
   145    1.284            5887           -4867          2.5006;
   146    1.293            5967           -4931          2.5006;
   147    1.302            6048           -4995          2.5006;
   148    1.310            6129           -5060          2.5006;
   149    1.319            6211           -5125          2.5006;
   150    1.328            6292           -5191          2.5006;
   151    1.337            6376           -5257          2.5006;
   152    1.346            6458           -5323          2.5006;
   153    1.355            6542           -5390          2.5006;
   154    1.364            6627           -5457          2.5006;
   155    1.372            6712           -5524          2.5006;
   156    1.381            6797           -5592          2.5006;
   157    1.390            6884           -5661          2.5006;
   158    1.399            6971           -5730          2.5006;
   159    1.408            7059           -5799          2.5006;
   160    1.417            7147           -5869          2.5006;
   161    1.426            7236           -5939          2.5006;
   162    1.434            7324           -6010          2.5006;
   163    1.443            7415           -6081          2.5006;
   164    1.452            7506           -6152          2.5006;
   165    1.461            7597           -6224          2.5006;
   166    1.470            7689           -6296          2.5006;
   167    1.479            7780           -6368          2.5006;
   168    1.488            7874           -6441          2.5006;
   169    1.496            7966           -6515          2.5006;
   170    1.505            8060           -6588          2.5006;
   171    1.514            8154           -6663          2.5006;
   172    1.523            8248           -6737          2.5006;
   173    1.532            8342           -6813          2.5006;
   174    1.541            8437           -6888          2.5006;
   175    1.549            8533           -6964          2.5006;
   176    1.558            8630           -7040          2.5006;
   177    1.567            8727           -7117          2.5006;
   178    1.576            8825           -7194          2.5006;
   179    1.585            8923           -7272          2.5006;
   180    1.594            9022           -7349          2.5006;
   181    1.603            9122           -7428          2.5006;
   182    1.611            9223           -7507          2.5006;
   183    1.620            9323           -7586          2.5006;
   184    1.629            9425           -7665          2.5006;
   185    1.638            9527           -7746          2.5006;
   186    1.647            9630           -7826          2.5006;
   187    1.656            9733           -7907          2.5006;
   188    1.665            9836           -7989          2.5006;
   189    1.673            9940           -8071          2.5006;
   190    1.682           10045           -8154          2.5006;
   191    1.691           10149           -8237          2.5006;
   192    1.700           10255           -8320          2.5006;
   193    1.709           10360           -8404          2.5006;
   194    1.718           10467           -8489          2.5006;
   195    1.727           10575           -8574          2.5006;
   196    1.735           10683           -8660          2.5006;
   197    1.744           10791           -8746          2.5006;
   198    1.753           10901           -8833          2.5006;
   199    1.762           11011           -8920          2.5006;
   200    1.771           11121           -9008          2.5006;
   201    1.780           11234           -9096          2.5006;
